brand,model,year,transmission,mileage,fuelType,engineSize
hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,2.2
vauxhall, GTC,2015,Manual,47870,Diesel,2.0
audi, RS4,2019,Automatic,5151,Petrol,2.9
vw, Scirocco,2016,Automatic,20423,Diesel,2.0
skoda, Scala,2020,Semi-Auto,3569,Petrol,1.0
merc, V Class,2019,Automatic,4170,Diesel,2.1
toyota, Prius,2020,Automatic,3,Hybrid,1.8
bmw, M4,2019,Semi-Auto,101,Petrol,3.0
toyota, Camry,2019,Automatic,6340,Hybrid,2.5
ford, KA,2012,Manual,85843,Petrol,1.2
vauxhall, Vivaro,2016,Manual,40230,Diesel,1.6
merc, CLS Class,2016,Automatic,47156,Diesel,2.1
vw, Caravelle,2019,Automatic,5000,Diesel,2.0
vw, Arteon,2018,Semi-Auto,20656,Petrol,2.0
vw, Shuttle,2018,Manual,31824,Diesel,2.0
hyundi, I40,2019,Manual,20,Diesel,1.6
hyundi, IX20,2015,Automatic,34878,Petrol,1.6
hyundi, Santa Fe,2019,Automatic,9970,Diesel,2.2
bmw, 6 Series,2017,Semi-Auto,18895,Diesel,3.0
merc, GL Class,2016,Automatic,11653,Diesel,2.1
merc, S Class,2017,Automatic,12653,Diesel,3.0
ford, KA,2015,Manual,17041,Petrol,1.2
audi, S3,2015,Manual,48800,Petrol,2.0
skoda, Yeti,2016,Semi-Auto,13156,Petrol,1.2
ford, Galaxy,2009,Manual,58000,Diesel,1.8
ford, Puma,2020,Manual,363,Petrol,1.0
ford, Edge,2016,Manual,24105,Diesel,2.0
audi, A8,2019,Automatic,2117,Diesel,3.0
merc, SLK,2013,Semi-Auto,44226,Diesel,2.0
vw, Scirocco,2016,Manual,44015,Diesel,2.0
merc, CLS Class,2016,Automatic,16107,Diesel,3.0
skoda, Kamiq,2019,Semi-Auto,3597,Petrol,1.5
merc, CLS Class,2016,Semi-Auto,29306,Diesel,3.0
audi, RS6,2016,Semi-Auto,22500,Petrol,4.0
toyota, Prius,2017,Automatic,20828,Hybrid,1.8
skoda, Scala,2019,Automatic,510,Diesel,1.6
vw, Scirocco,2016,Manual,40000,Petrol,1.4
vw, Arteon,2019,Semi-Auto,5101,Diesel,2.0
skoda, Scala,2019,Manual,1149,Petrol,1.0
toyota, Prius,2017,Automatic,33710,Hybrid,1.8
merc, CLA Class,2017,Automatic,53159,Diesel,2.1
vw, Caravelle,2006,Manual,106000,Diesel,2.5
toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,2.8
merc, V Class,2019,Automatic,10,Diesel,2.0
merc, M Class,2015,Semi-Auto,43339,Diesel,2.1
merc, S Class,2009,Automatic,122000,Diesel,3.0
hyundi, I40,2016,Manual,18340,Diesel,1.7
vw, Arteon,2020,Semi-Auto,2555,Diesel,2.0
merc, V Class,2018,Semi-Auto,40479,Diesel,2.2
audi, Q8,2019,Automatic,4278,Diesel,3.0
toyota, Verso,2017,Semi-Auto,19807,Petrol,1.8
hyundi, Santa Fe,2016,Automatic,20960,Diesel,2.2
merc, CLS Class,2018,Automatic,16568,Diesel,2.9
ford, Mustang,2017,Manual,20700,Petrol,5.0
vw, Arteon,2019,Manual,40,Diesel,2.0
merc, CLS Class,2017,Semi-Auto,31479,Diesel,2.1
hyundi, IX35,2011,Manual,79000,Petrol,1.6
vw, Amarok,2015,Manual,43935,Diesel,2.0
toyota, Avensis,2018,Automatic,35507,Petrol,1.8
ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,1.5
ford, Galaxy,2016,Semi-Auto,20486,Diesel,2.0
toyota, Prius,2016,Automatic,23300,Hybrid,1.8
vauxhall, Antara,2014,Manual,27495,Diesel,2.2
skoda, Scala,2019,Other,3500,Petrol,1.0
merc, M Class,2008,Automatic,110000,Diesel,3.0
ford, Puma,2019,Manual,1085,Petrol,1.0
ford, Tourneo Connect,2020,Automatic,409,Diesel,1.5
vw, Beetle,2015,Manual,55239,Petrol,1.2
bmw, X4,2017,Automatic,58056,Diesel,2.0
merc, SLK,2008,Automatic,65000,Petrol,1.8
vw, CC,2015,Semi-Auto,54231,Diesel,2.0
ford, Edge,2016,Automatic,24641,Diesel,2.0
bmw, M4,2020,Semi-Auto,1000,Petrol,3.0
toyota, GT86,2017,Manual,26919,Petrol,2.0
merc, GL Class,2013,Automatic,60462,Diesel,3.0
bmw, X4,2015,Manual,53197,Diesel,2.0
merc, X-CLASS,2019,Automatic,500,Diesel,2.3
bmw, X4,2016,Automatic,42576,Diesel,3.0
hyundi, I800,2016,Automatic,17110,Diesel,2.5
bmw, i8,2018,Automatic,11278,Hybrid,1.5
merc, S Class,2019,Semi-Auto,7659,Diesel,3.0
vw, Caddy Maxi Life,2014,Manual,56716,Diesel,1.6
toyota, Verso,2018,Manual,7074,Diesel,1.6
ford, Mustang,2017,Semi-Auto,26452,Petrol,5.0
hyundi, IX20,2015,Manual,29000,Petrol,1.4
skoda, Yeti,2017,Semi-Auto,15000,Petrol,1.2
vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,2.0
vw, Arteon,2017,Semi-Auto,6502,Petrol,2.0
vauxhall, Combo Life,2019,Manual,805,Petrol,1.2
merc, CLA Class,2017,Automatic,10626,Petrol,1.6
vw, Scirocco,2014,Manual,43198,Diesel,2.0
ford, Mustang,2020,Automatic,3500,Petrol,5.0
skoda, Rapid,2017,Manual,55115,Diesel,1.6
vw, Arteon,2019,Semi-Auto,6183,Diesel,2.0
merc, X-CLASS,2018,Automatic,9500,Diesel,3.0
bmw, 6 Series,2015,Automatic,22797,Diesel,3.0
merc, S Class,2015,Automatic,30782,Hybrid,2.1
ford, Edge,2017,Manual,45386,Diesel,2.0
vw, Scirocco,2011,Semi-Auto,120000,Diesel,2.0
merc, GL Class,2015,Automatic,54965,Diesel,2.1
vw, Amarok,2017,Automatic,22000,Diesel,3.0
vw, Amarok,2018,Automatic,23371,Diesel,3.0
audi, SQ7,2017,Automatic,12000,Diesel,4.0
merc, M Class,2014,Automatic,37986,Diesel,3.0
ford, Grand C-MAX,2016,Manual,28772,Diesel,1.5
hyundi, Santa Fe,2009,Manual,95000,Diesel,2.2
hyundi, IX20,2017,Manual,12245,Petrol,1.4
toyota, Prius,2013,Automatic,33905,Hybrid,1.8
vauxhall, Combo Life,2018,Manual,10070,Diesel,1.5
bmw, i3,2016,Automatic,25269,Other,0.6
toyota, Avensis,2016,Manual,40312,Diesel,1.6
ford, Tourneo Custom,2016,Manual,62505,Diesel,2.0
bmw, M4,2020,Semi-Auto,101,Petrol,3.0
vw, California,2019,Semi-Auto,3544,Diesel,2.0
hyundi, I800,2018,Manual,33610,Diesel,2.5
vauxhall, Agila,2014,Manual,45400,Petrol,1.0
merc, M Class,2015,Semi-Auto,30657,Diesel,2.1
audi, A7,2017,Semi-Auto,24337,Diesel,3.0
hyundi, I800,2019,Manual,14674,Diesel,2.5
skoda, Scala,2020,Manual,1652,Petrol,1.5
vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,1.6
ford, Mustang,2018,Manual,21632,Petrol,2.3
merc, CLA Class,2015,Automatic,32895,Diesel,2.1
ford, Galaxy,2017,Manual,36123,Diesel,2.0
vauxhall, Combo Life,2019,Manual,7821,Diesel,1.5
toyota, Prius,2013,Automatic,68057,Hybrid,1.8
toyota, Land Cruiser,2017,Automatic,11356,Diesel,2.8
bmw, 6 Series,2014,Semi-Auto,64215,Diesel,3.0
ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,1.5
toyota, Verso,2017,Semi-Auto,19432,Petrol,1.8
merc, CLS Class,2018,Semi-Auto,8123,Diesel,2.9
vauxhall, Combo Life,2018,Manual,14066,Diesel,1.5
merc, G Class,2018,Semi-Auto,18234,Petrol,4.0
vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,2.0
ford, Grand C-MAX,2011,Automatic,90000,Diesel,2.0
bmw, X6,2018,Automatic,35706,Diesel,3.0
ford, Edge,2018,Semi-Auto,9412,Diesel,2.0
merc, CLA Class,2016,Automatic,30106,Diesel,2.1
toyota, Verso,2017,Semi-Auto,6800,Petrol,1.8
bmw, M2,2020,Semi-Auto,1501,Petrol,3.0
merc, GL Class,2015,Automatic,29520,Diesel,2.1
merc, GL Class,2015,Automatic,40659,Diesel,2.1
merc, SLK,2014,Semi-Auto,34170,Petrol,2.0
bmw, X4,2017,Semi-Auto,22768,Diesel,2.0
merc, CLS Class,2016,Automatic,33000,Diesel,2.1
toyota, Prius,2017,Automatic,3881,Hybrid,1.8
vw, Scirocco,2015,Manual,22442,Diesel,2.0
merc, SLK,2016,Automatic,39820,Diesel,2.1
skoda, Scala,2020,Manual,55,Petrol,1.0
bmw, X7,2019,Semi-Auto,10,Diesel,3.0
vw, Arteon,2019,Manual,3248,Diesel,2.0
hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,2.2
vw, Beetle,2015,Manual,26196,Petrol,1.4
vw, Amarok,2019,Automatic,6822,Diesel,3.0
skoda, Rapid,2018,Semi-Auto,13553,Petrol,1.0
merc, V Class,2018,Manual,30577,Diesel,2.1
audi, A8,2018,Automatic,11300,Diesel,3.0
vw, Scirocco,2016,Manual,22687,Diesel,2.0
vauxhall, GTC,2015,Manual,33217,Diesel,2.0
audi, A8,2019,Automatic,5900,Diesel,3.0
vw, Scirocco,2017,Manual,44081,Petrol,2.0
ford, Galaxy,2016,Automatic,24664,Diesel,2.0
bmw, 7 Series,2019,Automatic,7414,Diesel,3.0
vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,1.5
ford, Grand C-MAX,2018,Manual,21384,Petrol,1.0
skoda, Rapid,2014,Semi-Auto,40468,Petrol,1.4
merc, V Class,2018,Automatic,15232,Diesel,2.1
vw, Caravelle,2019,Semi-Auto,6280,Diesel,2.0
vw, Shuttle,2018,Semi-Auto,16203,Diesel,2.0
ford, Galaxy,2017,Manual,35495,Diesel,2.0
merc, M Class,2013,Automatic,84000,Diesel,2.1
ford, Grand C-MAX,2017,Manual,11373,Petrol,1.0
vauxhall, Combo Life,2019,Manual,7300,Petrol,1.2
ford, Tourneo Custom,2017,Manual,33650,Diesel,2.0
bmw, Z4,2019,Automatic,467,Petrol,2.0
audi, RS5,2019,Automatic,2000,Petrol,2.9
skoda, Rapid,2017,Manual,33599,Diesel,1.6
ford, Edge,2016,Manual,27500,Diesel,2.0
ford, Grand C-MAX,2017,Manual,25243,Diesel,1.5
vw, Scirocco,2015,Manual,90000,Diesel,2.0
ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,1.5
vw, Arteon,2019,Manual,100,Diesel,2.0
toyota, GT86,2017,Manual,14345,Petrol,2.0
toyota, Hilux,2018,Automatic,16734,Diesel,2.4
merc, GLS Class,2017,Automatic,26452,Diesel,3.0
audi, A7,2017,Semi-Auto,34132,Diesel,3.0
skoda, Rapid,2017,Manual,32657,Diesel,1.6
vw, Arteon,2019,Automatic,7865,Diesel,2.0
vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,2.0
vw, Shuttle,2019,Manual,3615,Diesel,2.0
toyota, Prius,2018,Automatic,20252,Hybrid,1.8
ford, KA,2018,Manual,5007,Petrol,1.2
skoda, Rapid,2016,Manual,49093,Diesel,1.6
hyundi, Santa Fe,2016,Manual,10200,Diesel,2.2
toyota, Verso,2017,Automatic,33989,Other,1.8
skoda, Scala,2020,Manual,5234,Petrol,1.0
audi, A8,1997,Automatic,122000,Petrol,4.2
hyundi, IX20,2016,Manual,28500,Petrol,1.4
ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,1.6
hyundi, Santa Fe,2018,Manual,21588,Diesel,2.2
merc, S Class,2019,Semi-Auto,4688,Petrol,4.0
merc, GLB Class,2020,Semi-Auto,29,Diesel,2.0
merc, M Class,2013,Automatic,51800,Diesel,2.1
bmw, 7 Series,2019,Semi-Auto,706,Diesel,3.0
audi, Q8,2019,Automatic,945,Diesel,3.0
merc, GL Class,2015,Automatic,42073,Diesel,2.1
merc, X-CLASS,2019,Automatic,39,Diesel,2.3
bmw, X7,2019,Semi-Auto,17561,Petrol,3.0
audi, RS6,2015,Automatic,24987,Petrol,4.0
skoda, Yeti,2013,Manual,67235,Diesel,2.0
ford, Edge,2017,Semi-Auto,20045,Diesel,2.0
bmw, M4,2017,Automatic,5735,Petrol,3.0
ford, Edge,2017,Semi-Auto,41726,Diesel,2.0
vauxhall, GTC,2016,Automatic,44310,Petrol,1.4
ford, Edge,2017,Manual,22922,Diesel,2.0
vauxhall, Combo Life,2019,Manual,17957,Diesel,1.5
merc, S Class,2015,Automatic,46757,Diesel,3.0
audi, Q8,2019,Semi-Auto,4488,Diesel,3.0
toyota, Verso,2016,Semi-Auto,13992,Petrol,1.8
merc, SLK,2001,Automatic,48172,Petrol,2.3
ford, KA,2018,Manual,10691,Petrol,1.2
ford, Galaxy,2017,Manual,32750,Diesel,2.0
vw, Arteon,2019,Automatic,1000,Diesel,2.0
vw, Beetle,2013,Manual,38333,Petrol,2.0
toyota, Prius,2013,Automatic,58852,Other,1.8
vw, Amarok,2018,Automatic,5673,Diesel,3.0
skoda, Rapid,2015,Manual,28301,Petrol,1.2
hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,2.2
merc, S Class,2015,Semi-Auto,29036,Diesel,3.0
vw, Scirocco,2017,Automatic,34203,Diesel,2.0
toyota, Avensis,2016,Manual,29535,Diesel,1.6
bmw, M5,2012,Automatic,51000,Petrol,4.4
ford, Grand C-MAX,2017,Manual,4040,Petrol,1.0
hyundi, IX20,2017,Manual,10279,Petrol,1.4
vw, Scirocco,2017,Manual,24481,Diesel,2.0
vw, Amarok,2019,Automatic,6898,Diesel,3.0
vw, Scirocco,2016,Manual,17141,Diesel,2.0
vw, Arteon,2019,Automatic,6000,Diesel,2.0
vw, Amarok,2018,Automatic,13764,Diesel,3.0
